ID,Age,Sex
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301507,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301504,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301503,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301502,4,M
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301509,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301508,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301505,4,F
e721bf33-de21-4b17-9ef5-af1b345cb4e2_sub-301506,4,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar007,4,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar010,4,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar018,4,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar024,4,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29219,5,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29224,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar041,5,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29253,5,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29229,5,F
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29226,5,M
54168e28-4f4f-4c93-8422-b3d15df05938_sub-CTS209,5,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29167,5,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29163,5,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29161,5,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29176,5,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29174,5,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29173,5,F
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29170,5,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29169,5,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29182,5,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29194,5,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29189,5,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29187,5,M
937206e6-a5e6-447e-b4a7-a209b2921bd3_sub-39,5,F
937206e6-a5e6-447e-b4a7-a209b2921bd3_sub-37,5,M
937206e6-a5e6-447e-b4a7-a209b2921bd3_sub-63,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar062,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar061,5,F
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0007,5,F
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0027,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar060,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar059,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar058,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar044,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar043,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar063,5,M
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar042,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar065,5,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar064,5,M
