ID,Modality
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-30,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0114,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON61087,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0123,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON62003,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0122,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-35,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0121,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-34,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0120,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0315,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-24,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0119,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0118,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON61373,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0117,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-32,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0116,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0316,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-31,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0115,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-33,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0319,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0103,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-23,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-14,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0092,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-13,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-12,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0091,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-11,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0322,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0090,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-15,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-10,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0089,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-08,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-07,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-06,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-05,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-04,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-03,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-02,Arterial Spin Labeling
e4744a3c-61a6-4e48-8368-e6e88f7a89dc_sub-09,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0039,Arterial Spin Labeling
